"","run 1","run 2","run 3","run 4","run 5","run 6","run 7","run 8","run 9","run 10","Average"
"11965",11849.08,11079.2,10693.5,11261.75,11495.08,11718.37,12279.2,10937.5,11777.75,9985,11307.643
"11966",11849.08,11079.2,10693.5,11261.75,11495.08,11718.37,12279.2,10952.5,11777.75,9985,11309.143
"11967",11849.08,11079.2,10693.5,11261.75,11495.08,11718.37,12279.2,10952.5,11777.75,9985,11309.143
"11968",11849.08,11079.2,10693.5,11261.75,11495.08,11718.37,12279.2,10952.5,11777.75,9985,11309.143
"11969",11849.08,11079.2,10693.5,11261.75,11495.08,11718.37,12279.2,10952.5,11777.75,9985,11309.143
"11970",11854.08,11079.2,10693.5,11261.75,11495.08,11718.37,12279.2,10952.5,11777.75,9985,11309.643
"11971",11864.08,11079.2,10693.5,11261.75,11495.08,11718.37,12279.2,10952.5,11777.75,10010,11313.143
"11972",11864.08,11085.2,10693.5,11261.75,11495.08,11718.37,12279.2,10952.5,11777.75,10010,11313.743
"11973",11864.08,11085.2,10693.5,11261.75,11495.08,11718.37,12279.2,10952.5,11777.75,10010,11313.743
"11974",11864.08,11085.2,10693.5,11261.75,11495.08,11718.37,12279.2,10952.5,11777.75,10010,11313.743
"11975",11864.08,11085.2,10693.5,11261.75,11495.08,11718.37,12279.2,10960.5,11777.75,10010,11314.543
"11976",11864.08,11085.2,10693.5,11269.25,11495.08,11718.37,12279.2,10960.5,11777.75,10010,11315.293
"11977",11864.08,11085.2,10693.5,11269.25,11495.08,11722.37,12279.2,10960.5,11777.75,10010,11315.693
"11978",11864.08,11085.2,10693.5,11269.25,11495.08,11722.37,12279.2,10960.5,11777.75,10010,11315.693
"11979",11864.08,11085.2,10693.5,11269.25,11495.08,11722.37,12279.2,10960.5,11801.75,10010,11318.093
"11980",11864.08,11085.2,10693.5,11269.25,11495.08,11722.37,12279.2,10960.5,11801.75,10010,11318.093
"11981",11864.08,11085.2,10693.5,11269.25,11495.08,11722.37,12285.2,10960.5,11801.75,10010,11318.693
"11982",11864.08,11085.2,10728.5,11269.25,11495.08,11722.37,12285.2,10960.5,11814.75,10017,11324.193
"11983",11864.08,11085.2,10728.5,11269.25,11520.08,11722.37,12290.2,10960.5,11814.75,10057,11331.193
"11984",11864.08,11085.2,10728.5,11269.25,11520.08,11722.37,12295.2,10960.5,11814.75,10057,11331.693
"11985",11864.08,11085.2,10728.5,11269.25,11520.08,11722.37,12300.2,10960.5,11814.75,10057,11332.193
"11986",11864.08,11085.2,10728.5,11269.25,11520.08,11722.37,12300.2,10960.5,11814.75,10057,11332.193
"11987",11864.08,11100.2,10728.5,11269.25,11520.08,11722.37,12300.2,10960.5,11814.75,10087,11336.693
"11988",11864.08,11100.2,10733.5,11269.25,11520.08,11722.37,12300.2,10960.5,11814.75,10087,11337.193
"11989",11864.08,11100.2,10733.5,11269.25,11520.08,11722.37,12300.2,10960.5,11814.75,10087,11337.193
"11990",11864.08,11100.2,10733.5,11269.25,11520.08,11722.37,12300.2,10960.5,11814.75,10087,11337.193
"11991",11864.08,11100.2,10733.5,11269.25,11520.08,11722.37,12300.2,10960.5,11814.75,10087,11337.193
"11992",11864.08,11100.2,10733.5,11269.25,11520.08,11722.37,12300.2,10960.5,11814.75,10087,11337.193
"11993",11864.08,11100.2,10733.5,11269.25,11520.08,11722.37,12300.2,10960.5,11814.75,10087,11337.193
"11994",11864.08,11100.2,10733.5,11269.25,11520.08,11722.37,12300.2,10960.5,11814.75,10087,11337.193
"11995",11864.08,11100.2,10733.5,11269.25,11520.08,11722.37,12300.2,10969.5,11814.75,10087,11338.093
"11996",11864.08,11112.2,10733.5,11269.25,11520.08,11722.37,12300.2,10969.5,11814.75,10097,11340.293
